dataset_name,PF1_test_1cpu,PF2_test_1cpu,PF1_train_1cpu,PF2_train_1cpu,PF1_test_31cpu,PF2_test_31cpu,PF1_train_31cpu,PF2_train_31cpu
ACSF1,78.931603414,79.968245725,176.401465078,279.495942713,7.51530915,8.716427242,9.59444145,13.735945868
Adiac,8.479068762,18.829636949,36.371626114,60.991097031,1.521011946,2.327170816,2.567384949,4.126487317
ArrowHead,5.700802665,4.727583813,4.697642719,4.681482931,0.713422025,0.706105968,0.26881993,0.222290431
Beef,3.811685445,2.287469136,10.547272477,13.242348145,0.34946718,0.292896017,0.813108604,0.687561376
BeetleFly,2.660917679,1.816484716,9.33858339,6.720425963,0.284967317,0.218131079,0.645615121,0.464498956
BirdChicken,2.995461546,1.806684157,8.164232261,6.92170114,0.226575673,0.194924576,0.602971966,0.447201009
BME,1.677082126,1.327385344,1.084248412,0.863973422,0.501847386,0.422710948,0.064398984,0.044106242
Car,9.67499818,8.834493241,38.364286967,33.042530919,0.994564569,0.888375622,1.980488363,1.983434
CBF,9.009901316,7.668426096,1.570975084,1.469038632,2.795067228,2.852441282,0.073157549,0.077519392
Chinatown,0.433933074,0.390415516,0.065000192,0.054349233,1.098394049,0.846559197,0.015107946,0.012535777
ChlorineConcentration,102.934771862,107.018578438,48.12599858,60.938415662,14.597340006,16.116465708,2.747447616,3.203031997
CinCECGTorso,1440.874858517,942.924707193,187.578542857,136.979538062,181.859557358,107.102413356,11.156910284,7.41085777
Coffee,0.456709727,0.392473753,1.77087037,2.47010494,0.099705103,0.08837906,0.151566519,0.141475513
Computers,192.899737318,126.171339759,692.162282694,500.503654215,16.168105743,11.582602251,33.343154816,23.492125996
CricketX,62.895459513,50.132491469,185.164255179,173.494178628,6.567258883,5.643049405,10.398255197,8.77360955
CricketY,50.599840596,45.64901058,184.377151626,165.292466515,5.916065379,5.605761219,10.534191063,10.280001397
CricketZ,47.439118819,59.156337521,166.336507279,167.38277062,5.901559664,5.709924159,9.323494621,8.564627241
Crop,176.564930938,152.9942817,167.906946953,215.183368686,78.801259244,80.282228531,8.886367754,9.820563598
DiatomSizeReduction,3.436941596,6.02425573,1.15009038,1.816683548,1.233764615,1.023959382,0.061662275,0.082893079
DistalPhalanxOutlineAgeGroup,1.387634234,0.858687436,10.797666009,10.102225432,0.407435639,0.41734824,0.537123018,0.6744822
DistalPhalanxOutlineCorrect,2.344289997,2.523775583,19.620053979,22.583628629,0.818235481,0.762837228,1.322343797,1.35868765
DistalPhalanxTW,0.72551618,0.928375019,8.194400375,9.530782206,0.417417292,0.395078217,0.500832699,0.648704871
Earthquakes,39.083344882,32.448602819,372.515303724,322.150406226,3.111096703,2.819300683,14.242965764,14.071269335
ECG200,0.615717132,0.57271082,4.164459247,3.948276722,0.306712066,0.297048765,0.213520522,0.192753413
ECG5000,58.728342373,57.325209284,32.548781694,29.896817779,14.339225583,14.785021263,2.493619337,1.840904177
ECGFiveDays,9.171709891,6.435107931,1.365491686,0.960729231,2.861898945,2.532008478,0.05801668,0.043442508
ElectricDevices,181.091837227,162.020304791,701.294877296,634.827573199,31.531924153,29.708202276,30.925029693,26.760433964
EOGHorizontalSignal,633.672112553,446.53905883,3031.23016002,1722.725018417,71.032475256,54.972775571,130.636456387,81.809240144
