folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.83,0.71,0.71,0.71,0.75,0.82,0.75,0.71,0.67,0.69,0.7,0.76,0.78,0.7,0.73,0.7,0.75,0.72,0.76,0.67,0.7,0.67,0.73,0.67,0.74,0.75,0.77,0.74,0.69,0.74
Adiac,0.7800511508951407,0.7570332480818415,0.7289002557544757,0.7647058823529411,0.7493606138107417,0.7519181585677749,0.7621483375959079,0.7365728900255755,0.7621483375959079,0.7902813299232737,0.7595907928388747,0.7416879795396419,0.7570332480818415,0.7570332480818415,0.7723785166240409,0.7647058823529411,0.7647058823529411,0.7595907928388747,0.7442455242966752,0.7774936061381074,0.7672634271099744,0.7544757033248082,0.7621483375959079,0.7621483375959079,0.7365728900255755,0.7672634271099744,0.7442455242966752,0.7263427109974424,0.7851662404092071,0.7749360613810742
ArrowHead,0.8742857142857143,0.8857142857142857,0.8914285714285715,0.9085714285714286,0.9314285714285714,0.9314285714285714,0.9085714285714286,0.9142857142857143,0.9428571428571428,0.92,0.8628571428571429,0.8914285714285715,0.8457142857142858,0.9257142857142857,0.9142857142857143,0.9028571428571428,0.8171428571428572,0.8857142857142857,0.9142857142857143,0.8742857142857143,0.9657142857142857,0.8971428571428571,0.8342857142857143,0.8857142857142857,0.92,0.8914285714285715,0.9714285714285714,0.9085714285714286,0.92,0.9314285714285714
BME,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beef,0.7333333333333333,0.6333333333333333,0.5,0.5333333333333333,0.7,0.5,0.7333333333333333,0.6,0.6666666666666666,0.6333333333333333,0.7,0.6333333333333333,0.7333333333333333,0.5,0.7,0.6666666666666666,0.6333333333333333,0.7333333333333333,0.5333333333333333,0.7333333333333333,0.5,0.6333333333333333,0.6,0.5666666666666667,0.6333333333333333,0.5,0.7333333333333333,0.6333333333333333,0.6333333333333333,0.5666666666666667
BeetleFly,0.85,0.9,0.8,0.95,0.8,0.85,0.9,0.9,0.8,0.85,1.0,1.0,0.85,0.75,0.8,0.95,0.9,0.85,0.95,0.9,0.85,0.95,0.9,1.0,0.85,0.9,0.95,0.8,0.7,0.95
BirdChicken,0.95,0.95,0.9,0.9,0.95,0.95,0.95,0.8,0.9,0.8,0.9,0.9,1.0,1.0,0.9,1.0,0.95,1.0,1.0,1.0,0.9,0.95,0.95,1.0,0.8,1.0,0.9,0.85,0.85,0.9
CBF,0.9966666666666667,0.9711111111111111,0.9977777777777778,0.9788888888888889,0.9966666666666667,0.9977777777777778,1.0,0.9977777777777778,0.9955555555555555,0.9988888888888889,1.0,0.9888888888888889,0.9988888888888889,1.0,1.0,0.9977777777777778,1.0,0.9988888888888889,0.9977777777777778,0.9977777777777778,0.9955555555555555,1.0,0.9988888888888889,0.9955555555555555,1.0,0.9666666666666667,0.9955555555555555,0.9922222222222222,0.9988888888888889,0.9977777777777778
Car,0.9333333333333333,0.9,0.8833333333333333,0.8666666666666667,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9,0.8166666666666667,0.9166666666666666,0.8333333333333334,0.9333333333333333,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.9,0.85,0.85,0.8833333333333333,0.9,0.8,0.9,0.8666666666666667,0.9,0.8166666666666667,0.8666666666666667,0.9166666666666666,0.8166666666666667,0.8833333333333333
Chinatown,0.9766763848396501,0.9504373177842566,0.9708454810495627,0.967930029154519,0.9737609329446064,0.9708454810495627,0.9591836734693877,0.9708454810495627,0.9766763848396501,0.9591836734693877,0.9620991253644315,0.9504373177842566,0.9737609329446064,0.9708454810495627,0.9737609329446064,0.9504373177842566,0.9504373177842566,0.967930029154519,0.9650145772594753,0.967930029154519,0.9737609329446064,0.9416909620991254,0.9620991253644315,0.9475218658892128,0.967930029154519,0.9737609329446064,0.967930029154519,0.956268221574344,0.9766763848396501,0.9650145772594753
