dataset_name,TS-QUAD,EE,EE$^+$,EE$_{PF2}$,1NN-ADTW$^+$,ProximityForest$^+$,ProximityForest 1.0,ProximityForest 2.0
ACSF1,0.68,0.66,0.82,0.85,0.84,0.83,0.69,0.83
Adiac,0.6470588235294118,0.6726342710997443,0.6956521739130435,0.7289002557544757,0.6368286445012787,0.7595907928388747,0.7416879795396419,0.7800511508951407
ArrowHead,0.84,0.8114285714285714,0.8228571428571428,0.8571428571428571,0.8171428571428572,0.8971428571428571,0.8742857142857143,0.8742857142857143
BME,0.9866666666666668,0.9866666666666668,0.9933333333333332,1.0,0.98,1.0,1.0,1.0
Beef,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.7666666666666667,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.7333333333333333
BeetleFly,0.75,0.75,0.75,0.85,0.75,0.95,0.9,0.85
BirdChicken,0.9,0.75,0.85,0.95,0.75,0.9,0.85,0.95
CBF,1.0,0.9988888888888888,1.0,0.9944444444444444,1.0,0.9922222222222222,0.9966666666666668,0.9966666666666668
Car,0.8666666666666667,0.8,0.8666666666666667,0.9166666666666666,0.8833333333333333,0.9,0.8166666666666667,0.9333333333333332
Chinatown,0.9620991253644317,0.9533527696793004,0.9650145772594751,0.9533527696793004,0.9533527696793004,0.979591836734694,0.9710144927536232,0.97667638483965
ChlorineConcentration,0.6739583333333333,0.6536458333333334,0.6567708333333333,0.68359375,0.64921875,0.6197916666666666,0.6322916666666667,0.64296875
CinCECGTorso,0.9760869565217392,0.95,0.9557971014492752,0.9855072463768116,0.9623188405797102,0.9420289855072465,0.9239130434782608,0.9688405797101448
Coffee,0.9642857142857144,1.0,0.9642857142857144,0.9642857142857144,0.9642857142857144,1.0,1.0,1.0
Computers,0.728,0.708,0.672,0.712,0.604,0.756,0.66,0.744
CricketX,0.782051282051282,0.8102564102564103,0.8076923076923077,0.8153846153846154,0.7871794871794872,0.8128205128205128,0.8,0.7974358974358975
CricketY,0.7974358974358975,0.8025641025641026,0.8128205128205128,0.8205128205128205,0.7846153846153846,0.7974358974358975,0.7974358974358975,0.8102564102564103
CricketZ,0.7589743589743589,0.7846153846153846,0.7974358974358975,0.7846153846153846,0.7897435897435897,0.8333333333333334,0.8051282051282052,0.8051282051282052
Crop,0.7380952380952381,0.738452380952381,0.7385714285714285,0.7377976190476191,0.708452380952381,0.7586309523809524,0.7556547619047619,0.7673214285714286
DistalPhalanxOutlineAgeGroup,0.6618705035971223,0.6834532374100719,0.6906474820143885,0.6546762589928058,0.7050359712230215,0.7410071942446043,0.7338129496402878,0.7266187050359713
DistalPhalanxOutlineCorrect,0.7391304347826086,0.7355072463768116,0.7318840579710145,0.7210144927536232,0.6956521739130435,0.7898550724637681,0.8043478260869565,0.7862318840579711
DistalPhalanxTW,0.5971223021582733,0.6402877697841727,0.6187050359712231,0.6258992805755396,0.6402877697841727,0.6762589928057554,0.6474820143884892,0.6618705035971223
ECG200,0.9,0.88,0.89,0.88,0.84,0.91,0.9,0.94
ECG5000,0.9324444444444444,0.9384444444444444,0.9395555555555556,0.9422222222222222,0.9322222222222222,0.9415555555555556,0.9377777777777778,0.9457777777777778
ECGFiveDays,0.8734030197444832,0.8362369337979094,0.8908246225319396,0.9442508710801394,0.9291521486643438,0.8966318234610917,0.8466898954703833,0.9628339140534262
EOGHorizontalSignal,0.511049723756906,0.5359116022099447,0.5331491712707183,0.5027624309392266,0.5193370165745856,0.56353591160221,0.5469613259668509,0.5718232044198895
EOGVerticalSignal,0.4696132596685083,0.511049723756906,0.4972375690607735,0.505524861878453,0.361878453038674,0.5607734806629834,0.580110497237569,0.569060773480663
Earthquakes,0.7410071942446043,0.7482014388489209,0.7410071942446043,0.7266187050359713,0.7122302158273381,0.7697841726618705,0.7553956834532374,0.762589928057554
