dataset_name,ADTW,DA,cDTW,DTW,ERP,LCSS,MSM,TWE,WDTW
ACSF1,0.8,0.7875,0.7875,0.8125,0.5875,0.575,0.7749999999999999,0.575,0.7875
BirdChicken,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.9375
Chinatown,0.9726027397260272,0.9726027397260272,0.9726027397260272,0.9726027397260272,0.9657534246575342,0.9657534246575342,0.9589041095890412,0.9657534246575342,0.9726027397260272
CinCECGTorso,1.0,0.9982394366197184,1.0,0.9982394366197184,1.0,1.0,1.0,0.9982394366197184,0.9982394366197184
CricketX,0.8301282051282051,0.7147435897435898,0.8621794871794872,0.8461538461538461,0.8333333333333333,0.7980769230769231,0.8205128205128205,0.7980769230769231,0.7628205128205128
CricketY,0.8108974358974359,0.6506410256410257,0.8397435897435896,0.8525641025641026,0.8269230769230769,0.8076923076923077,0.7980769230769231,0.7916666666666667,0.7211538461538461
EthanolLevel,0.396039603960396,0.3935643564356436,0.3787128712871287,0.3613861386138614,0.3564356435643564,0.3935643564356436,0.3787128712871287,0.3811881188118812,0.3762376237623762
FiftyWords,0.8568672251840568,0.7430820005077431,0.858987052551409,0.8363544046712363,0.8135440467123636,0.8593424727088093,0.8517390200558517,0.8214140644833714,0.8087712617415588
Fish,0.9642857142857144,0.9142857142857144,0.9714285714285716,0.9642857142857144,0.9714285714285716,0.9928571428571428,0.9642857142857144,0.9071428571428573,0.9428571428571428
FordA,0.8700507614213198,0.7208121827411167,0.7969543147208122,0.7974619289340101,0.8213197969543147,0.8690355329949239,0.8964467005076142,0.8609137055837564,0.8304568527918782
GunPointOldVersusYoung,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
InsectWingbeatSound,0.6681818181818182,0.6647727272727273,0.6681818181818182,0.5920454545454545,0.615909090909091,0.675,0.6738636363636363,0.6829545454545455,0.6625000000000001
LargeKitchenAppliances,0.8500000000000001,0.6166666666666667,0.91,0.8933333333333333,0.8033333333333333,0.7766666666666666,0.8266666666666667,0.7833333333333334,0.7066666666666667
OliveOil,0.8846153846153847,0.8846153846153847,0.8846153846153847,0.8846153846153847,0.8846153846153847,0.5,0.8846153846153847,0.8846153846153847,0.8846153846153847
Phoneme,0.4954813546423135,0.2218575596144089,0.5058346017250126,0.510369101978691,0.4678145611364789,0.4978912988330796,0.5137779046169457,0.462138508371385,0.3851946981227803
Plane,1.0,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PowerCons,0.9861111111111112,0.9930555555555556,0.9861111111111112,0.9791666666666669,0.9791666666666669,0.9930555555555556,0.9930555555555556,0.9791666666666669,0.9930555555555556
ProximalPhalanxOutlineCorrect,0.8907632916954366,0.8823520180779612,0.8851610068420062,0.887969995606051,0.8823363254033018,0.8851766995166657,0.8935565877848219,0.8823206327286423,0.8823677107526207
