dataset_name,ADTW,ADTW-DA,ADTW-cDTW,ADTW-DTWFULL,ADTW-ERP,ADTW-LCSS,ADTW-MSM,ADTW-TWE,ADTW-WDTW,DA-DTW,DA-DTWFULL,DA-MSM,DTW,DTW-DTWFULL,cDTW-ERP,cDTW-LCSS,DTW-MSM,DTW-TWE,DTW-WDTW,DTWFULL,DTWFULL-ERP,DTWFULL-LCSS,DTWFULL-MSM,DTWFULL-TWE,DTWFULL-WDTW,ERP-MSM,LCSS-MSM,MSM,MSM-TWE,MSM-WDTW
ACSF1,0.7749999999999999,0.7749999999999999,0.7875,0.7875,0.7875,0.8,0.7625,0.7749999999999999,0.7875,0.8,0.7749999999999999,0.7875,0.7875,0.7875,0.8125,0.8125,0.7749999999999999,0.775,0.7875,0.8,0.775,0.8125,0.7875,0.7875,0.8,0.7875,0.8,0.7749999999999999,0.8125,0.7875
BirdChicken,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chinatown,0.9726027397260272,0.9726027397260272,0.9726027397260272,0.9726027397260272,0.9726027397260272,0.9726027397260272,0.9726027397260272,0.9726027397260272,0.9726027397260272,0.9726027397260272,0.9726027397260272,0.9657534246575342,0.9657534246575342,0.9726027397260272,0.958904109589041,0.9726027397260272,0.9657534246575342,0.9726027397260272,0.9726027397260272,0.9657534246575342,0.9657534246575342,0.9657534246575342,0.9657534246575342,0.9657534246575342,0.9726027397260272,0.9657534246575342,0.9726027397260272,0.9589041095890412,0.9657534246575342,0.9657534246575342
CinCECGTorso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9982394366197184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CricketX,0.8205128205128205,0.8044871794871795,0.8365384615384615,0.8525641025641025,0.842948717948718,0.8365384615384615,0.8365384615384616,0.8205128205128205,0.8012820512820513,0.8301282051282051,0.8269230769230769,0.7852564102564102,0.842948717948718,0.8493589743589743,0.858974358974359,0.8301282051282051,0.8397435897435898,0.8493589743589743,0.8237179487179487,0.8461538461538461,0.858974358974359,0.8461538461538461,0.8365384615384615,0.8333333333333333,0.8301282051282051,0.8365384615384616,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.8108974358974359
CricketY,0.8076923076923077,0.7756410256410255,0.842948717948718,0.8205128205128205,0.8461538461538461,0.8173076923076923,0.8012820512820513,0.8173076923076923,0.7884615384615385,0.8108974358974359,0.8076923076923077,0.7628205128205128,0.8429487179487178,0.8365384615384615,0.842948717948718,0.8269230769230769,0.8397435897435898,0.8301282051282051,0.8076923076923077,0.8397435897435898,0.8557692307692308,0.8269230769230769,0.8333333333333333,0.8301282051282051,0.8141025641025641,0.8237179487179487,0.7948717948717949,0.8141025641025641,0.8012820512820513,0.7596153846153846
EthanolLevel,0.3861386138613861,0.400990099009901,0.3861386138613861,0.3886138613861386,0.3638613861386138,0.3886138613861385,0.3811881188118812,0.3886138613861386,0.3787128712871287,0.396039603960396,0.3886138613861386,0.4009900990099009,0.3935643564356436,0.400990099009901,0.3836633663366336,0.4084158415841584,0.3935643564356436,0.3514851485148514,0.3737623762376237,0.3836633663366336,0.3613861386138614,0.3886138613861386,0.3787128712871287,0.3935643564356436,0.3638613861386138,0.3787128712871287,0.4108910891089108,0.3935643564356436,0.3836633663366336,0.3737623762376237
FiftyWords,0.8617288651942117,0.8489083523736989,0.8615511551155115,0.8715410002538715,0.8566895151053566,0.8793221629855293,0.8718075653719217,0.8566895151053566,0.8441355674028941,0.8667682152830667,0.854036557501904,0.8339680121858339,0.8616400101548616,0.8542142675806041,0.8566895151053566,0.8794110180248794,0.8794110180248794,0.8693323178471692,0.8616400101548616,0.8491749174917491,0.8591647626301091,0.8919649657273419,0.8817974105102818,0.8566006600660065,0.8565118050266565,0.8566006600660065,0.8619065752729118,0.8615511551155115,0.8466108149276466,0.8466108149276466
Fish,0.9571428571428572,0.9571428571428572,0.9714285714285716,0.9714285714285716,0.9785714285714286,0.9857142857142858,0.9857142857142858,0.95,0.95,0.9642857142857144,0.9571428571428572,0.9357142857142856,0.9642857142857144,0.9785714285714286,0.9714285714285714,0.9857142857142858,0.9642857142857144,0.95,0.9642857142857144,0.9714285714285716,0.9714285714285716,0.9857142857142858,0.9785714285714286,0.9571428571428572,0.95,0.9642857142857144,0.9857142857142858,0.9785714285714286,0.9428571428571428,0.9571428571428572
FordA,0.8852791878172589,0.8644670050761422,0.8609137055837564,0.8588832487309644,0.8736040609137057,0.8878172588832487,0.8934010152284264,0.8730964467005076,0.8659898477157361,0.8385786802030457,0.8390862944162436,0.8786802030456853,0.799492385786802,0.8010152284263959,0.8147208121827412,0.8532994923857868,0.8827411167512691,0.8365482233502538,0.8314720812182741,0.7898477157360406,0.8081218274111674,0.8487309644670051,0.8807106598984771,0.8401015228426396,0.8269035532994924,0.8862944162436548,0.8979695431472081,0.8969543147208121,0.8873096446700508,0.8857868020304569
