dataset_name,ADTW,ADTW$_{S1}$,ADTW$_{S1}$-cDTW,ADTW$_{S1}$-cDTW-LCSS,ADTW$_{S1}$-LCSS,ADTW-LCSS,ADTW-cDTW,ADTW-cDTW-LCSS,"ADTW$_{S1}$-cDTW-
ERP-LCSS"
ACSF1,0.7699999999999999,0.77,0.77,0.7849999999999999,0.77,0.8,0.7875,0.795,0.79
BirdChicken,0.95,0.925,1.0,1.0,0.95,1.0,1.0,1.0,0.975
Chinatown,0.9780821917808218,0.9808219178082191,0.9808219178082191,0.9808219178082191,0.9808219178082191,0.9726027397260272,0.9726027397260272,0.9808219178082191,0.9780821917808218
CinCECGTorso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CricketX,0.8307692307692307,0.8397435897435898,0.841025641025641,0.8487179487179487,0.8320512820512821,0.8365384615384615,0.8365384615384615,0.8384615384615385,0.8461538461538461
CricketY,0.826923076923077,0.8192307692307692,0.8384615384615385,0.8397435897435898,0.8141025641025641,0.8173076923076923,0.842948717948718,0.8423076923076923,0.8423076923076923
EthanolLevel,0.3904356435643564,0.3884158415841584,0.3864752475247525,0.3864158415841584,0.3794752475247524,0.3886138613861385,0.3861386138613861,0.3963960396039604,0.3904059405940594
FiftyWords,0.866840251754849,0.8696468353136362,0.8688447210098895,0.8833337557121762,0.8748949540974417,0.8793221629855293,0.8615511551155115,0.8820889087740417,0.8817449907548432
Fish,0.9571428571428572,0.962857142857143,0.9714285714285716,0.9714285714285716,0.9742857142857144,0.9857142857142858,0.9714285714285716,0.9771428571428572,0.98
FordA,0.8906757401935836,0.8851871069877488,0.8691370029387795,0.8862079101483085,0.8965655078180415,0.8878172588832487,0.8609137055837564,0.8831583030120441,0.8754382324198764
GunPointOldVersusYoung,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
InsectWingbeatSound,0.6977272727272728,0.6927272727272727,0.699090909090909,0.7013636363636364,0.7018181818181819,0.6852272727272728,0.678409090909091,0.6927272727272727,0.6981818181818181
LargeKitchenAppliances,0.8573333333333334,0.8506666666666666,0.8826666666666666,0.8906666666666666,0.8626666666666667,0.8766666666666667,0.8766666666666667,0.8800000000000001,0.868
OliveOil,0.9371794871794872,0.9371794871794872,0.9371794871794872,0.9371794871794872,0.9371794871794872,0.8846153846153847,0.8846153846153847,0.9371794871794872,0.9371794871794872
Phoneme,0.2937400702264351,0.2904952323084148,0.30950310684449,0.3136637438977138,0.3155852742095275,0.4955130644342973,0.5172659817351599,0.3090015284776443,0.3074833993016789
Plane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PowerCons,0.9916666666666666,0.9916666666666666,0.9888888888888888,0.9916666666666666,0.9916666666666666,0.9861111111111112,0.9861111111111112,0.9916666666666666,0.9888888888888888
ProximalPhalanxOutlineCorrect,0.8866549494695877,0.8877597137656142,0.8709434436005272,0.8832778858828698,0.8832904400225974,0.887969995606051,0.893587973134141,0.8810369719414977,0.888889586341096
ProximalPhalanxTW,0.8229760487436165,0.8198051185983045,0.8180702255859842,0.8297096087780641,0.8230838071228946,0.8250264410364887,0.8373876255949233,0.827990285843415,0.8281271626000528
Trace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWaveGestureLibraryY,0.8302752476829658,0.8253720238095237,0.8367594479066796,0.8432331615532119,0.8465813758389261,0.8431919642857142,0.8342633928571428,0.8477004434324066,0.8503800135826143
Wafer,0.9997208651815838,0.9997208651815838,0.9998603351955306,0.9998603351955306,0.9995813951676368,0.999302649930265,1.0,0.9998603351955306,0.9997208651815838
Worms,0.7406153846153847,0.7404615384615385,0.7403076923076923,0.7403076923076923,0.7441538461538462,0.7403846153846154,0.7211538461538463,0.744,0.724923076923077
Beef,0.74,0.7266666666666667,0.7,0.7,0.6866666666666668,0.6666666666666666,0.6666666666666666,0.6933333333333334,0.74
Car,0.9083333333333334,0.9,0.925,0.9083333333333334,0.8916666666666666,0.9375,0.9375,0.9166666666666666,0.9166666666666666
CricketZ,0.826923076923077,0.8307692307692308,0.8371794871794872,0.8320512820512821,0.8333333333333333,0.8237179487179487,0.8397435897435896,0.8461538461538461,0.8474358974358974
DistalPhalanxTW,0.7736786205510878,0.7681693550106641,0.773541965086747,0.7698839595963058,0.783004309549957,0.7589470204149102,0.7725431853872221,0.7700221162245076,0.7848570707638005
ECG5000,0.95299946902828,0.9528002670326708,0.953999670834494,0.9551998770395383,0.9536012712421064,0.9560658901976268,0.9555678852086038,0.954402468448094,0.9522002678302764
FordB,0.8753918681513125,0.8837145637694164,0.8717958569785518,0.8855156026844959,0.898108719556123,0.8931952326183946,0.8735190404570214,0.8902359676950494,0.8893368385131634
GunPointAgeSpan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Haptics,0.5229114971050455,0.5273558745075559,0.5378767651931687,0.5442124793531795,0.5272384673208284,0.5159574468085106,0.5265957446808511,0.522842862925224,0.5445388059663969
Herring,0.6095954415954417,0.5856182336182336,0.5545185185185185,0.6013105413105413,0.5865185185185184,0.5826210826210826,0.6025641025641025,0.5625185185185185,0.5924102564102565
InsectEPGSmallTrain,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ItalyPowerDemand,0.9808550123580916,0.9735532273850735,0.9753714092032552,0.9753797114033383,0.975375560303297,0.9704545454545456,0.975,0.975375560303297,0.9717308944668502
Lightning7,0.7916400939315288,0.7965433197379805,0.8252988917727515,0.8248539529518395,0.797135912330573,0.7419354838709677,0.7580645161290323,0.8237505046759775,0.8035057883244757
Meat,1.0,1.0,1.0,0.9916666666666666,0.9916666666666666,1.0,1.0,0.9916666666666666,1.0
MedicalImages,0.8475159672969502,0.8484785012196451,0.8518796983088684,0.857186051896992,0.8440145646635792,0.8480990024468286,0.8546019198193111,0.8545073472247271,0.8440378152536286
MiddlePhalanxOutlineAgeGroup,0.7274750857051742,0.7258654954230176,0.7255758735404754,0.7474423256724142,0.7493406681017301,0.7411305110420154,0.732201227776449,0.7418429692765975,0.7383031462677481
MiddlePhalanxOutlineCorrect,0.8518722868074787,0.8361479430893184,0.8496313019387636,0.8361792575112943,0.8362235516370562,0.8491620111731844,0.8603351955307262,0.849637437153941,0.8530209196652088
MixedShapesSmallTrain,0.979390758262895,0.9809812093077028,0.9817638650277992,0.9865234934806149,0.983751178962974,0.9842111623048078,0.9832210710137133,0.9833472625538476,0.9813764444459055
OSULeaf,0.9006806033670509,0.8961833430758851,0.932404057227634,0.9394325597773874,0.9325354005345986,0.9392551892551892,0.9226495726495728,0.9392757389629884,0.9347047686341992
ScreenType,0.6493333333333333,0.6386666666666667,0.716,0.712,0.7,0.7,0.7166666666666667,0.724,0.7053333333333334
SemgHandGenderCh2,0.9688888888888888,0.9677777777777776,0.9688888888888888,0.9744444444444444,0.9744444444444446,0.977777777777778,0.977777777777778,0.9755555555555556,0.971111111111111
SemgHandMovementCh2,0.8866666666666667,0.8944444444444445,0.9033333333333337,0.9033333333333332,0.8966666666666667,0.8972222222222221,0.9166666666666669,0.9033333333333332,0.9011111111111112
SemgHandSubjectCh2,0.9511111111111112,0.9422222222222224,0.9477777777777778,0.9488888888888888,0.9433333333333334,0.9472222222222222,0.9527777777777776,0.95,0.9533333333333334
ShapeletSim,0.8949999999999999,0.905,0.935,0.995,0.995,1.0,0.95,0.995,0.995
Strawberry,0.9725420055731876,0.9725420055731876,0.9654094555834948,0.9705114963998211,0.9715267248262172,0.9594677741885864,0.9670563503050812,0.9715215450893476,0.9704908297729185
SwedishLeaf,0.9706666666666668,0.9697777777777778,0.9644444444444444,0.9697777777777776,0.9733333333333332,0.971111111111111,0.9622222222222222,0.9706666666666668,0.9688888888888888
SyntheticControl,0.9966666666666668,0.995,0.9966666666666668,0.995,0.9916666666666666,0.9958333333333332,0.9958333333333332,0.995,0.995
ToeSegmentation1,0.959119496855346,0.955206149545772,0.9701607267645004,0.9739343116701608,0.9776380153738644,0.9907407407407408,0.9814814814814814,0.9739343116701608,0.977777777777778
UMD,0.9944444444444444,0.9944444444444444,0.9944444444444444,0.9944444444444444,0.9888888888888888,0.9861111111111112,1.0,0.9944444444444444,0.9944444444444444
WordSynonyms,0.8755630103462659,0.8745692586517922,0.8833251174223257,0.884448623750315,0.8736558580005804,0.8727521056225814,0.8858411108581835,0.8823330239140255,0.8822840668606148
Yoga,0.9742424242424242,0.975151515151515,0.9784848484848484,0.9818181818181818,0.9818181818181816,0.9795454545454544,0.9833333333333334,0.9827272727272728,0.9815151515151516
